Date,Store,Product,Sales,Price,Promotion
2023-01-01,Store_1,Product_1,66,124,0
2023-01-01,Store_1,Product_2,45,180,0
2023-01-01,Store_1,Product_3,22,179,0
2023-01-01,Store_1,Product_4,41,107,0
2023-01-01,Store_1,Product_5,56,64,0
2023-01-01,Store_1,Product_6,69,100,0
2023-01-01,Store_1,Product_7,89,184,0
2023-01-01,Store_1,Product_8,69,67,1
2023-01-01,Store_1,Product_9,69,139,0
2023-01-01,Store_1,Product_10,85,57,0
2023-01-01,Store_2,Product_1,91,181,0
2023-01-01,Store_2,Product_2,23,103,0
2023-01-01,Store_2,Product_3,62,63,0
2023-01-01,Store_2,Product_4,35,89,1
2023-01-01,Store_2,Product_5,74,173,0
2023-01-01,Store_2,Product_6,49,64,0
2023-01-01,Store_2,Product_7,81,185,0
2023-01-01,Store_2,Product_8,23,130,0
2023-01-01,Store_2,Product_9,60,184,1
2023-01-01,Store_2,Product_10,30,82,0
2023-01-01,Store_3,Product_1,48,153,0
2023-01-01,Store_3,Product_2,72,150,1
2023-01-01,Store_3,Product_3,24,191,0
2023-01-01,Store_3,Product_4,36,64,0
2023-01-01,Store_3,Product_5,97,101,0
2023-01-01,Store_3,Product_6,23,192,0
2023-01-01,Store_3,Product_7,67,135,1
2023-01-01,Store_3,Product_8,64,94,0
2023-01-01,Store_3,Product_9,21,133,1
2023-01-01,Store_3,Product_10,112,177,1
2023-01-01,Store_4,Product_1,96,170,1
2023-01-01,Store_4,Product_2,20,152,0
2023-01-01,Store_4,Product_3,39,100,0
2023-01-01,Store_4,Product_4,41,108,0
2023-01-01,Store_4,Product_5,72,101,0
2023-01-01,Store_4,Product_6,58,179,0
2023-01-01,Store_4,Product_7,76,179,0
2023-01-01,Store_4,Product_8,18,196,0
2023-01-01,Store_4,Product_9,74,117,0
2023-01-01,Store_4,Product_10,75,172,0
2023-01-01,Store_5,Product_1,77,188,1
2023-01-01,Store_5,Product_2,28,146,0
2023-01-01,Store_5,Product_3,87,196,0
2023-01-01,Store_5,Product_4,43,197,0
2023-01-01,Store_5,Product_5,85,88,1
2023-01-01,Store_5,Product_6,23,60,0
2023-01-01,Store_5,Product_7,88,139,1
2023-01-01,Store_5,Product_8,73,162,0
2023-01-01,Store_5,Product_9,67,58,0
2023-01-01,Store_5,Product_10,49,97,1
2023-01-02,Store_1,Product_1,41,165,0
2023-01-02,Store_1,Product_2,93,153,0
2023-01-02,Store_1,Product_3,54,117,0
2023-01-02,Store_1,Product_4,43,97,0
2023-01-02,Store_1,Product_5,29,82,0
2023-01-02,Store_1,Product_6,83,164,0
2023-01-02,Store_1,Product_7,46,76,0
2023-01-02,Store_1,Product_8,39,79,0
2023-01-02,Store_1,Product_9,81,97,0
2023-01-02,Store_1,Product_10,57,98,0
2023-01-02,Store_2,Product_1,75,86,1
2023-01-02,Store_2,Product_2,83,144,1
2023-01-02,Store_2,Product_3,78,116,0
2023-01-02,Store_2,Product_4,41,103,0
2023-01-02,Store_2,Product_5,66,135,0
2023-01-02,Store_2,Product_6,42,179,0
2023-01-02,Store_2,Product_7,54,88,0
2023-01-02,Store_2,Product_8,42,148,0
2023-01-02,Store_2,Product_9,43,106,0
2023-01-02,Store_2,Product_10,44,114,0
2023-01-02,Store_3,Product_1,36,81,0
2023-01-02,Store_3,Product_2,82,112,1
2023-01-02,Store_3,Product_3,39,119,0
2023-01-02,Store_3,Product_4,80,150,0
2023-01-02,Store_3,Product_5,78,165,0
2023-01-02,Store_3,Product_6,74,101,0
2023-01-02,Store_3,Product_7,49,68,0
2023-01-02,Store_3,Product_8,72,139,0
2023-01-02,Store_3,Product_9,84,178,0
2023-01-02,Store_3,Product_10,25,83,0
2023-01-02,Store_4,Product_1,69,118,0
2023-01-02,Store_4,Product_2,98,125,0
2023-01-02,Store_4,Product_3,69,134,0
2023-01-02,Store_4,Product_4,62,150,0
2023-01-02,Store_4,Product_5,29,118,0
2023-01-02,Store_4,Product_6,47,73,1
2023-01-02,Store_4,Product_7,22,133,0
2023-01-02,Store_4,Product_8,67,173,0
2023-01-02,Store_4,Product_9,101,116,1
2023-01-02,Store_4,Product_10,60,123,0
2023-01-02,Store_5,Product_1,46,57,0
2023-01-02,Store_5,Product_2,94,139,0
2023-01-02,Store_5,Product_3,34,124,1
2023-01-02,Store_5,Product_4,62,70,1
2023-01-02,Store_5,Product_5,58,148,0
2023-01-02,Store_5,Product_6,40,86,0
2023-01-02,Store_5,Product_7,78,154,0
2023-01-02,Store_5,Product_8,102,133,1
2023-01-02,Store_5,Product_9,37,189,1
2023-01-02,Store_5,Product_10,43,125,0
2023-01-03,Store_1,Product_1,57,166,0
2023-01-03,Store_1,Product_2,37,74,0
2023-01-03,Store_1,Product_3,91,158,1
2023-01-03,Store_1,Product_4,81,191,0
2023-01-03,Store_1,Product_5,26,124,0
2023-01-03,Store_1,Product_6,104,58,0
2023-01-03,Store_1,Product_7,34,76,0
2023-01-03,Store_1,Product_8,26,78,0
2023-01-03,Store_1,Product_9,24,194,1
2023-01-03,Store_1,Product_10,57,181,0
2023-01-03,Store_2,Product_1,39,140,0
2023-01-03,Store_2,Product_2,37,88,0
2023-01-03,Store_2,Product_3,64,107,0
2023-01-03,Store_2,Product_4,108,110,1
2023-01-03,Store_2,Product_5,61,162,0
2023-01-03,Store_2,Product_6,72,166,1
2023-01-03,Store_2,Product_7,76,96,1
2023-01-03,Store_2,Product_8,116,196,1
2023-01-03,Store_2,Product_9,35,192,0
2023-01-03,Store_2,Product_10,71,167,0
2023-01-03,Store_3,Product_1,76,166,0
2023-01-03,Store_3,Product_2,53,139,0
2023-01-03,Store_3,Product_3,76,90,0
2023-01-03,Store_3,Product_4,47,194,0
2023-01-03,Store_3,Product_5,92,95,0
2023-01-03,Store_3,Product_6,28,131,0
2023-01-03,Store_3,Product_7,98,105,1
2023-01-03,Store_3,Product_8,34,168,0
2023-01-03,Store_3,Product_9,86,60,0
2023-01-03,Store_3,Product_10,99,135,1
2023-01-03,Store_4,Product_1,68,148,0
2023-01-03,Store_4,Product_2,56,104,1
2023-01-03,Store_4,Product_3,96,132,0
2023-01-03,Store_4,Product_4,99,159,0
2023-01-03,Store_4,Product_5,58,162,0
2023-01-03,Store_4,Product_6,56,141,0
2023-01-03,Store_4,Product_7,72,167,1
2023-01-03,Store_4,Product_8,96,61,1
2023-01-03,Store_4,Product_9,22,134,0
2023-01-03,Store_4,Product_10,107,152,0
2023-01-03,Store_5,Product_1,66,128,0
2023-01-03,Store_5,Product_2,89,101,0
2023-01-03,Store_5,Product_3,107,100,0
2023-01-03,Store_5,Product_4,42,181,0
2023-01-03,Store_5,Product_5,34,118,1
2023-01-03,Store_5,Product_6,72,175,0
2023-01-03,Store_5,Product_7,96,153,0
2023-01-03,Store_5,Product_8,40,145,0
2023-01-03,Store_5,Product_9,59,196,1
2023-01-03,Store_5,Product_10,59,110,0
2023-01-04,Store_1,Product_1,107,139,1
2023-01-04,Store_1,Product_2,64,127,0
2023-01-04,Store_1,Product_3,43,143,0
2023-01-04,Store_1,Product_4,69,110,0
2023-01-04,Store_1,Product_5,59,96,0
2023-01-04,Store_1,Product_6,37,77,0
2023-01-04,Store_1,Product_7,31,160,1
2023-01-04,Store_1,Product_8,33,87,0
2023-01-04,Store_1,Product_9,36,77,0
2023-01-04,Store_1,Product_10,74,66,0
2023-01-04,Store_2,Product_1,60,74,0
2023-01-04,Store_2,Product_2,81,158,0
2023-01-04,Store_2,Product_3,64,132,0
2023-01-04,Store_2,Product_4,33,75,0
2023-01-04,Store_2,Product_5,72,199,0
2023-01-04,Store_2,Product_6,93,161,0
2023-01-04,Store_2,Product_7,115,124,1
2023-01-04,Store_2,Product_8,30,167,0
2023-01-04,Store_2,Product_9,74,185,0
2023-01-04,Store_2,Product_10,69,93,0
2023-01-04,Store_3,Product_1,42,69,0
2023-01-04,Store_3,Product_2,58,50,0
2023-01-04,Store_3,Product_3,84,149,0
2023-01-04,Store_3,Product_4,18,183,0
2023-01-04,Store_3,Product_5,40,179,0
2023-01-04,Store_3,Product_6,32,133,0
2023-01-04,Store_3,Product_7,95,87,0
2023-01-04,Store_3,Product_8,91,118,1
2023-01-04,Store_3,Product_9,72,186,0
2023-01-04,Store_3,Product_10,52,50,0
2023-01-04,Store_4,Product_1,44,109,0
2023-01-04,Store_4,Product_2,60,54,0
2023-01-04,Store_4,Product_3,87,91,0
2023-01-04,Store_4,Product_4,61,121,0
2023-01-04,Store_4,Product_5,35,146,0
2023-01-04,Store_4,Product_6,46,194,1
2023-01-04,Store_4,Product_7,90,88,0
2023-01-04,Store_4,Product_8,26,116,0
2023-01-04,Store_4,Product_9,87,160,0
2023-01-04,Store_4,Product_10,49,87,0
2023-01-04,Store_5,Product_1,54,172,0
2023-01-04,Store_5,Product_2,60,190,0
2023-01-04,Store_5,Product_3,78,54,0
2023-01-04,Store_5,Product_4,85,125,0
2023-01-04,Store_5,Product_5,54,85,0
2023-01-04,Store_5,Product_6,62,118,1
2023-01-04,Store_5,Product_7,88,72,0
2023-01-04,Store_5,Product_8,62,156,0
2023-01-04,Store_5,Product_9,44,149,1
2023-01-04,Store_5,Product_10,20,169,0
2023-01-05,Store_1,Product_1,44,78,0
2023-01-05,Store_1,Product_2,70,60,0
2023-01-05,Store_1,Product_3,63,106,0
2023-01-05,Store_1,Product_4,71,104,0
2023-01-05,Store_1,Product_5,32,186,0
2023-01-05,Store_1,Product_6,76,166,0
2023-01-05,Store_1,Product_7,71,124,1
2023-01-05,Store_1,Product_8,15,140,0
2023-01-05,Store_1,Product_9,65,137,0
2023-01-05,Store_1,Product_10,41,112,0
2023-01-05,Store_2,Product_1,53,112,1
2023-01-05,Store_2,Product_2,63,120,0
2023-01-05,Store_2,Product_3,26,111,0
2023-01-05,Store_2,Product_4,39,98,0
2023-01-05,Store_2,Product_5,51,50,0
2023-01-05,Store_2,Product_6,73,162,0
2023-01-05,Store_2,Product_7,67,57,1
2023-01-05,Store_2,Product_8,24,81,0
2023-01-05,Store_2,Product_9,52,81,0
2023-01-05,Store_2,Product_10,28,114,0
2023-01-05,Store_3,Product_1,90,121,0
2023-01-05,Store_3,Product_2,81,100,0
2023-01-05,Store_3,Product_3,27,127,0
2023-01-05,Store_3,Product_4,64,193,0
2023-01-05,Store_3,Product_5,67,104,1
2023-01-05,Store_3,Product_6,22,123,0
2023-01-05,Store_3,Product_7,53,131,1
2023-01-05,Store_3,Product_8,71,197,0
2023-01-05,Store_3,Product_9,20,69,0
2023-01-05,Store_3,Product_10,57,186,0
2023-01-05,Store_4,Product_1,75,169,1
2023-01-05,Store_4,Product_2,35,58,0
2023-01-05,Store_4,Product_3,42,53,0
2023-01-05,Store_4,Product_4,47,158,0
2023-01-05,Store_4,Product_5,58,83,0
2023-01-05,Store_4,Product_6,40,171,0
2023-01-05,Store_4,Product_7,55,102,0
2023-01-05,Store_4,Product_8,73,194,0
2023-01-05,Store_4,Product_9,79,103,0
2023-01-05,Store_4,Product_10,71,85,0
2023-01-05,Store_5,Product_1,41,162,0
2023-01-05,Store_5,Product_2,70,147,0
2023-01-05,Store_5,Product_3,44,82,0
2023-01-05,Store_5,Product_4,41,130,0
2023-01-05,Store_5,Product_5,91,89,0
2023-01-05,Store_5,Product_6,82,153,0
2023-01-05,Store_5,Product_7,64,98,0
2023-01-05,Store_5,Product_8,91,106,0
2023-01-05,Store_5,Product_9,70,130,0
2023-01-05,Store_5,Product_10,128,74,1
2023-01-06,Store_1,Product_1,34,75,0
2023-01-06,Store_1,Product_2,28,63,0
2023-01-06,Store_1,Product_3,35,108,1
2023-01-06,Store_1,Product_4,58,195,0
2023-01-06,Store_1,Product_5,31,157,0
2023-01-06,Store_1,Product_6,30,86,0
2023-01-06,Store_1,Product_7,82,169,0
2023-01-06,Store_1,Product_8,36,190,0
2023-01-06,Store_1,Product_9,41,104,0
2023-01-06,Store_1,Product_10,53,62,0
2023-01-06,Store_2,Product_1,65,170,0
2023-01-06,Store_2,Product_2,42,152,0
2023-01-06,Store_2,Product_3,83,191,0
2023-01-06,Store_2,Product_4,87,195,0
2023-01-06,Store_2,Product_5,47,122,0
2023-01-06,Store_2,Product_6,104,189,1
2023-01-06,Store_2,Product_7,62,95,0
2023-01-06,Store_2,Product_8,97,126,1
2023-01-06,Store_2,Product_9,110,166,1
2023-01-06,Store_2,Product_10,96,156,0
2023-01-06,Store_3,Product_1,77,55,1
2023-01-06,Store_3,Product_2,71,96,0
2023-01-06,Store_3,Product_3,27,131,0
2023-01-06,Store_3,Product_4,17,62,0
2023-01-06,Store_3,Product_5,82,172,0
2023-01-06,Store_3,Product_6,25,125,0
2023-01-06,Store_3,Product_7,102,173,0
2023-01-06,Store_3,Product_8,102,182,0
2023-01-06,Store_3,Product_9,35,130,0
2023-01-06,Store_3,Product_10,66,111,0
2023-01-06,Store_4,Product_1,87,89,0
2023-01-06,Store_4,Product_2,57,55,0
2023-01-06,Store_4,Product_3,105,108,0
2023-01-06,Store_4,Product_4,35,156,0
2023-01-06,Store_4,Product_5,94,56,1
2023-01-06,Store_4,Product_6,73,107,0
2023-01-06,Store_4,Product_7,50,156,0
2023-01-06,Store_4,Product_8,72,131,1
2023-01-06,Store_4,Product_9,94,62,0
2023-01-06,Store_4,Product_10,41,153,0
2023-01-06,Store_5,Product_1,78,123,0
2023-01-06,Store_5,Product_2,80,109,0
2023-01-06,Store_5,Product_3,55,66,0
2023-01-06,Store_5,Product_4,38,187,0
2023-01-06,Store_5,Product_5,48,99,1
2023-01-06,Store_5,Product_6,68,78,0
2023-01-06,Store_5,Product_7,80,107,0
2023-01-06,Store_5,Product_8,79,78,1
2023-01-06,Store_5,Product_9,33,78,0
2023-01-06,Store_5,Product_10,58,179,0
2023-01-07,Store_1,Product_1,44,150,0
2023-01-07,Store_1,Product_2,27,196,0
2023-01-07,Store_1,Product_3,18,64,0
2023-01-07,Store_1,Product_4,59,113,1
2023-01-07,Store_1,Product_5,59,76,1
2023-01-07,Store_1,Product_6,64,194,0
2023-01-07,Store_1,Product_7,31,180,0
2023-01-07,Store_1,Product_8,80,73,1
2023-01-07,Store_1,Product_9,22,66,0
2023-01-07,Store_1,Product_10,22,112,0
2023-01-07,Store_2,Product_1,19,121,0
2023-01-07,Store_2,Product_2,89,131,0
2023-01-07,Store_2,Product_3,76,82,1
2023-01-07,Store_2,Product_4,56,185,0
2023-01-07,Store_2,Product_5,70,170,0
2023-01-07,Store_2,Product_6,97,129,0
2023-01-07,Store_2,Product_7,46,146,0
2023-01-07,Store_2,Product_8,50,126,0
2023-01-07,Store_2,Product_9,45,192,0
2023-01-07,Store_2,Product_10,71,98,1
2023-01-07,Store_3,Product_1,108,57,1
2023-01-07,Store_3,Product_2,84,133,0
2023-01-07,Store_3,Product_3,37,183,1
2023-01-07,Store_3,Product_4,56,176,0
2023-01-07,Store_3,Product_5,60,61,0
2023-01-07,Store_3,Product_6,33,74,1
2023-01-07,Store_3,Product_7,42,81,0
2023-01-07,Store_3,Product_8,87,195,0
2023-01-07,Store_3,Product_9,52,84,0
2023-01-07,Store_3,Product_10,92,146,1
2023-01-07,Store_4,Product_1,71,73,0
2023-01-07,Store_4,Product_2,27,157,0
2023-01-07,Store_4,Product_3,72,166,0
2023-01-07,Store_4,Product_4,115,128,1
2023-01-07,Store_4,Product_5,22,180,0
2023-01-07,Store_4,Product_6,53,70,0
2023-01-07,Store_4,Product_7,49,136,0
2023-01-07,Store_4,Product_8,36,127,0
2023-01-07,Store_4,Product_9,57,111,0
2023-01-07,Store_4,Product_10,40,133,0
2023-01-07,Store_5,Product_1,84,77,0
2023-01-07,Store_5,Product_2,31,94,0
2023-01-07,Store_5,Product_3,52,59,0
2023-01-07,Store_5,Product_4,15,182,0
